Variable1,Variable2,Pair,Method,N,Missing Pair N,Correlation,Abs Correlation,Direction,Strength,P Value,High Correlation
conversions,revenue,conversions  ↔  revenue,spearman,4850,150,0.827013066272497,0.827013066272497,Positive,Strong,0,TRUE
revenue,roas,revenue  ↔  roas,spearman,4850,150,0.816920867517071,0.816920867517071,Positive,Strong,0,TRUE
impressions,spend,impressions  ↔  spend,spearman,5000,0,0.813356785490411,0.813356785490411,Positive,Strong,0,TRUE
impressions,clicks,impressions  ↔  clicks,spearman,5000,0,0.7497719119133,0.7497719119133,Positive,Strong,0,TRUE
conversions,cvr,conversions  ↔  cvr,spearman,5000,0,0.703496709337997,0.703496709337997,Positive,Strong,0,TRUE
clicks,conversions,clicks  ↔  conversions,spearman,5000,0,0.683732705867832,0.683732705867832,Positive,Moderate,0,FALSE
revenue,cvr,revenue  ↔  cvr,spearman,4850,150,0.661155310647518,0.661155310647518,Positive,Moderate,0,FALSE
ctr,cpc,ctr  ↔  cpc,spearman,4804,196,-0.655230583825891,0.655230583825891,Negative,Moderate,0,FALSE
cvr,roas,cvr  ↔  roas,spearman,5000,0,0.649164805842561,0.649164805842561,Positive,Moderate,0,FALSE
clicks,spend,clicks  ↔  spend,spearman,5000,0,0.612086652419894,0.612086652419894,Positive,Moderate,0,FALSE
clicks,ctr,clicks  ↔  ctr,spearman,4920,80,0.59490246110883,0.59490246110883,Positive,Moderate,0,FALSE
conversions,roas,conversions  ↔  roas,spearman,5000,0,0.574620901843492,0.574620901843492,Positive,Moderate,0,FALSE
spend,cpc,spend  ↔  cpc,spearman,4880,120,0.533043738903097,0.533043738903097,Positive,Moderate,0,FALSE
impressions,conversions,impressions  ↔  conversions,spearman,5000,0,0.513479611548703,0.513479611548703,Positive,Moderate,0,FALSE
clicks,revenue,clicks  ↔  revenue,spearman,4850,150,0.492903165659448,0.492903165659448,Positive,Weak,2.28627825381506e-295,FALSE
spend,conversions,spend  ↔  conversions,spearman,5000,0,0.447718175025208,0.447718175025208,Positive,Weak,4.0763346056374e-245,FALSE
cpc,roas,cpc  ↔  roas,spearman,4880,120,-0.444485584207207,0.444485584207207,Negative,Weak,1.82818869260399e-235,FALSE
conversions,ctr,conversions  ↔  ctr,spearman,4920,80,0.413690110238537,0.413690110238537,Positive,Weak,9.65566579361767e-203,FALSE
impressions,revenue,impressions  ↔  revenue,spearman,4850,150,0.375142154142015,0.375142154142015,Positive,Weak,6.49623081640871e-162,FALSE
spend,revenue,spend  ↔  revenue,spearman,4850,150,0.33471947602004,0.33471947602004,Positive,Weak,2.77179835660471e-127,FALSE
ctr,roas,ctr  ↔  roas,spearman,4920,80,0.322899318205012,0.322899318205012,Positive,Weak,9.0558468786778e-120,FALSE
revenue,ctr,revenue  ↔  ctr,spearman,4772,228,0.303661951920052,0.303661951920052,Positive,Weak,2.36526001382929e-102,FALSE
clicks,cpc,clicks  ↔  cpc,spearman,4880,120,-0.269751235029772,0.269751235029772,Negative,Very Weak,3.98874637184802e-82,FALSE
spend,roas,spend  ↔  roas,spearman,5000,0,-0.222584754264078,0.222584754264078,Negative,Very Weak,3.59347593841401e-57,FALSE
impressions,cpc,impressions  ↔  cpc,spearman,4880,120,0.175875755084602,0.175875755084602,Positive,Very Weak,3.36946822366822e-35,FALSE
