event_date,channel,trend
2023-01-01,Affiliate,1
2023-01-06,Affiliate,1.00159817351598
2023-01-09,Affiliate,1.00255707762557
2023-01-10,Affiliate,1.00287671232877
2023-01-17,Affiliate,1.00511415525114
2023-01-22,Affiliate,1.00671232876712
2023-01-28,Affiliate,1.0086301369863
2023-02-02,Affiliate,1.01022831050228
2023-02-04,Affiliate,1.01086757990868
2023-02-07,Affiliate,1.01182648401826
2023-02-08,Affiliate,1.01214611872146
2023-02-09,Affiliate,1.01246575342466
2023-02-10,Affiliate,1.01278538812785
2023-02-13,Affiliate,1.01374429223744
2023-02-16,Affiliate,1.01470319634703
2023-02-18,Affiliate,1.01534246575342
2023-02-20,Affiliate,1.01598173515982
2023-02-22,Affiliate,1.01662100456621
2023-03-09,Affiliate,1.02141552511416
2023-03-10,Affiliate,1.02173515981735
2023-03-11,Affiliate,1.02205479452055
2023-03-13,Affiliate,1.02269406392694
2023-03-18,Affiliate,1.02429223744292
2023-03-24,Affiliate,1.0262100456621
2023-03-25,Affiliate,1.0265296803653
2023-03-29,Affiliate,1.02780821917808
2023-03-30,Affiliate,1.02812785388128
2023-04-03,Affiliate,1.02940639269406
2023-04-07,Affiliate,1.03068493150685
2023-04-08,Affiliate,1.03100456621005
2023-04-09,Affiliate,1.03132420091324
2023-04-14,Affiliate,1.03292237442922
2023-04-16,Affiliate,1.03356164383562
2023-04-21,Affiliate,1.0351598173516
2023-04-28,Affiliate,1.03739726027397
2023-05-05,Affiliate,1.03963470319635
2023-05-06,Affiliate,1.03995433789954
2023-05-09,Affiliate,1.04091324200913
2023-05-11,Affiliate,1.04155251141553
2023-05-12,Affiliate,1.04187214611872
2023-05-14,Affiliate,1.04251141552511
2023-05-19,Affiliate,1.0441095890411
2023-05-21,Affiliate,1.04474885844749
2023-05-24,Affiliate,1.04570776255708
2023-05-25,Affiliate,1.04602739726027
2023-06-02,Affiliate,1.04858447488584
2023-06-16,Affiliate,1.05305936073059
2023-06-21,Affiliate,1.05465753424658
2023-06-23,Affiliate,1.05529680365297
2023-06-26,Affiliate,1.05625570776256
2023-07-03,Affiliate,1.05849315068493
2023-07-04,Affiliate,1.05881278538813
2023-07-10,Affiliate,1.06073059360731
2023-07-12,Affiliate,1.0613698630137
2023-07-14,Affiliate,1.06200913242009
2023-07-15,Affiliate,1.06232876712329
2023-07-16,Affiliate,1.06264840182648
2023-07-17,Affiliate,1.06296803652968
2023-07-24,Affiliate,1.06520547945205
2023-07-31,Affiliate,1.06744292237443
2023-08-03,Affiliate,1.06840182648402
2023-08-04,Affiliate,1.06872146118721
2023-08-11,Affiliate,1.07095890410959
2023-08-14,Affiliate,1.07191780821918
2023-08-18,Affiliate,1.07319634703196
2023-08-19,Affiliate,1.07351598173516
2023-08-22,Affiliate,1.07447488584475
2023-08-24,Affiliate,1.07511415525114
2023-08-26,Affiliate,1.07575342465753
2023-08-27,Affiliate,1.07607305936073
2023-08-31,Affiliate,1.07735159817352
2023-09-01,Affiliate,1.07767123287671
2023-09-10,Affiliate,1.08054794520548
2023-09-15,Affiliate,1.08214611872146
2023-09-19,Affiliate,1.08342465753425
2023-09-23,Affiliate,1.08470319634703
2023-09-24,Affiliate,1.08502283105023
